Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayIndex.ExtensibleArraySecondaryBlockPointerCounter,3,0,0,0,18,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayIndex.java,376
.,io.jhdf.dataset.chunked.indexing,FixedArrayIndex,12,0,2,2,87,4,0,1,0.0,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\FixedArrayIndex.java,27
.,io.jhdf.dataset.chunked.indexing,FixedArrayIndex.FixedArrayDataBlock,0,0,0,0,44,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\FixedArrayIndex.java,86
.,io.jhdf.dataset.chunked.indexing,SingleChunkIndex,1,0,2,2,15,3,0,1,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\SingleChunkIndex.java,19
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayCounterTest,0,0,3,0,58,3,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayCounterTest.java,18
.,io.jhdf.dataset.chunked.indexing,ExtensibleArraySecondaryBlockPointerCounter,0,0,2,0,32,2,0,0,-1.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\chunked\indexing\ExtensibleArraySecondaryBlockPointerCounter.java,18
.,io.jhdf.dataset,CompactDataset,0,0,4,4,16,4,0,1,-1.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\CompactDataset.java,23
.,io.jhdf.dataset,CompoundDatasetReader,0,0,2,1,23,4,0,0,-1.0,2,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\CompoundDatasetReader.java,22
.,io.jhdf.dataset,ContiguousDatasetImpl,1,0,8,7,53,10,0,1,0.25,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\ContiguousDatasetImpl.java,28
.,io.jhdf.dataset,DatasetBase,5,0,23,20,152,38,2,0,0.17391304347826086,1,11,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\DatasetBase.java,43
.,io.jhdf.dataset,DatasetLoader,0,0,2,1,29,6,0,0,-1.0,4,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\DatasetLoader.java,25
.,io.jhdf.dataset,DatasetReader,0,0,3,2,37,5,0,0,-1.0,6,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\DatasetReader.java,17
.,io.jhdf.dataset,EnumDatasetReader,0,0,6,1,0,23,0,0,-1.0,2,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\EnumDatasetReader.java,28
.,io.jhdf.dataset,GlobalHeapId,2,0,3,3,14,3,0,0,0.0,1,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\GlobalHeapId.java,12
.,io.jhdf.dataset,NoParent,2,0,0,0,63,0,0,0,-1.0,3,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\NoParent.java,25
.,io.jhdf.dataset,VariableLengthDatasetReader,1,0,6,1,91,18,0,0,0.3333333333333333,2,7,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\VariableLengthDatasetReader.java,30
.,io.jhdf.dataset,BitfieldDatasetTest,2,0,6,0,57,8,0,0,0.3333333333333333,0,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\BitfieldDatasetTest.java,31
.,io.jhdf.dataset,BitshuffleDatasetTest,3,0,4,0,27,4,0,0,0.5,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\BitshuffleDatasetTest.java,38
.,io.jhdf.dataset,ByteShuffleChunkedDatasetTest,4,0,4,0,37,5,0,0,0.0,0,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\ByteShuffleChunkedDatasetTest.java,39
.,io.jhdf.dataset,ChunkedDatasetTest,4,0,4,0,30,5,0,0,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\ChunkedDatasetTest.java,34
.,io.jhdf.dataset,ChunkedV4DatasetTest,2,0,7,0,62,12,0,0,0.2857142857142857,0,5,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\ChunkedV4DatasetTest.java,43
.,io.jhdf.dataset,CompactDatasetTest,4,0,4,0,32,5,0,0,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\CompactDatasetTest.java,37
.,io.jhdf.dataset,CompoundDatasetTest,4,0,12,0,111,12,0,0,0.5,0,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\CompoundDatasetTest.java,32
.,io.jhdf.dataset,CompressedChunkedDatasetTest,4,0,4,0,32,5,0,0,0.0,0,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\CompressedChunkedDatasetTest.java,34
.,io.jhdf.dataset,DatasetByAddressTest,2,0,4,0,27,5,0,0,0.0,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\DatasetByAddressTest.java,36
.,io.jhdf.dataset,DatasetLoaderTest,0,0,2,0,26,2,0,0,-1.0,0,7,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\DatasetLoaderTest.java,28
.,io.jhdf.dataset,DatasetLoaderTest.UnknownDataLayoutMessage,0,0,0,0,8,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\DatasetLoaderTest.java,56
.,io.jhdf.dataset,EmptyDatasetTest,4,0,4,0,28,4,0,0,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\EmptyDatasetTest.java,32
.,io.jhdf.dataset,EnumDatasetTest,4,0,6,0,51,10,0,0,0.3333333333333333,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\EnumDatasetTest.java,36
.,io.jhdf.dataset,FillValueDatasetTest,4,0,4,0,26,4,0,0,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\FillValueDatasetTest.java,30
.,io.jhdf.dataset,FloatSpecialValuesTest,4,0,5,0,41,5,0,0,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\FloatSpecialValuesTest.java,30
.,io.jhdf.dataset,Lz4DatasetTest,3,0,4,0,24,4,0,0,0.5,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\Lz4DatasetTest.java,38
.,io.jhdf.dataset,MultidimensionalArrayDatasetTest,2,0,5,0,67,5,0,0,0.0,0,6,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\MultidimensionalArrayDatasetTest.java,38
.,io.jhdf.dataset,OddDatasetTest,4,0,4,0,28,5,0,0,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\OddDatasetTest.java,31
.,io.jhdf.dataset,OpaqueDatasetTest,4,0,7,0,73,11,0,0,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\OpaqueDatasetTest.java,29
.,io.jhdf.dataset,ScalarDatasetTest,4,0,4,0,27,4,0,0,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\ScalarDatasetTest.java,32
.,io.jhdf.dataset,SlicingTest,2,0,6,0,77,6,0,0,0.0,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\SlicingTest.java,27
.,io.jhdf.dataset,StringDatasetTest,12,0,10,0,95,13,0,0,0.0,0,5,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\StringDatasetTest.java,40
.,io.jhdf.dataset,VariableLengthDatasetTest,4,0,6,0,57,7,0,0,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\VariableLengthDatasetTest.java,36
.,io.jhdf.examples,PrintTree,0,0,2,1,25,4,0,0,-1.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\examples\PrintTree.java,19
.,io.jhdf.examples,RawChunkAccess,0,0,1,1,23,2,0,0,-1.0,1,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\examples\RawChunkAccess.java,20
.,io.jhdf.examples,ReadAttribute,0,0,1,1,17,1,0,0,-1.0,1,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\examples\ReadAttribute.java,19
.,io.jhdf.examples,ReadDataset,0,0,1,1,13,1,0,0,-1.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\examples\ReadDataset.java,18
.,io.jhdf.examples,ReadFilters,0,0,1,1,12,1,0,0,-1.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\examples\ReadFilters.java,21
.,io.jhdf.examples,PrintTreeTest,0,0,2,0,8,2,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\examples\PrintTreeTest.java,16
.,io.jhdf.examples,RawChunkAccessTest,0,0,3,0,11,3,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\examples\RawChunkAccessTest.java,16
.,io.jhdf.examples,ReadAttributeTest,0,0,2,0,8,2,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\examples\ReadAttributeTest.java,16
.,io.jhdf.examples,ReadDatasetTest,0,0,2,0,8,2,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\examples\ReadDatasetTest.java,16
.,io.jhdf.examples,ReadFiltersTest,1,0,3,0,16,3,0,0,0.6666666666666666,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\examples\ReadFiltersTest.java,27
.,io.jhdf.examples,TestAllFiles,0,0,1,0,15,1,0,1,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\examples\TestAllFiles.java,53
